vd	12	m	21	2048	528836739283956245748	528836739283956248191	-252284163321263489150354	-252284163321263488989825
ad	12	a	5	512	-91194231899796034124	-91194231899796032809
ad	12	b	11	1024	-90685585534885172863	-90685585534885171510
vd	13	a	11	1024	387138716008484266992	387138716008484269476	-317659682142648497502980	-317659682142648497334144
vd	13	m	23	2048	227860690057934598459	227860690057934600980	-326353893223628117889342	-326353893223628117714351
vd	13	q1	45	4096	308013229715347203051	308013229715347205561	-328299591934314208022100	-328299591934314207849929
vd	13	q3	47	4096	149544428387513275828	149544428387513278370	-313551584197400932734845	-313551584197400932557641
ad	13	a	11	1024	-90685585534885172863	-90685585534885171510
ad	13	m	23	2048	-90535270916368271545	-90535270916368270185
ad	13	m	23	2048	-90535270916368271545	-90535270916368270185
ad	13	b	3	256	-90461902576325956909	-90461902576325955553
vd	14	a	3	256	75497014639500472460	75497014639500475033	-291685320021766008531983	-291685320021766008351987
vd	14	m	97	8192	40713759345486046520	40713759345486049086	-277920385735005960653458	-277920385735005960470136
vd	14	q1	193	16384	57895278915791957528	57895278915791960101	-285015213661394217774800	-285015213661394217593141
vd	14	q3	195	16384	23977517977464954104	23977517977464956682	-270429023980978310308019	-270429023980978310123077
ad	14	a	3	256	-90461902576325956909	-90461902576325955553
ad	14	m	97	8192	-90454826731047474070	-90454826731047472690
ad	14	m	97	8192	-90454826731047474070	-90454826731047472690
ad	14	b	49	4096	-90451890252593385736	-90451890252593384372
vd	15	a	49	4096	7709900857133614841	7709900857133617419	-262569164477624185738919	-262569164477624185552378
vd	15	m	1569	131072	5710495155267250985	5710495155267253560	-261562161285907261626322	-261562161285907261439568
ad	15	a	49	4096	-90451890252593385736	-90451890252593384372
ad	15	b	785	65536	-90451803097762704733	-90451803097762703359
vd	16	a	785	65536	3718792409083916800	3718792409083919387	-260549889885193814034748	-260549889885193813847843
vd	16	m	1571	131072	1734832605399563497	1734832605399566084	-259532404380191047959514	-259532404380191047772383
vd	16	q1	3141	262144	2725842156374469013	2725842156374471592	-260041795516397164707021	-260041795516397164520005
vd	16	q3	3143	262144	745768690050570590	745768690050573166	-259021723230753787644776	-259021723230753787457555
ad	16	a	785	65536	-90451803097762704733	-90451803097762703359
ad	16	m	1571	131072	-90451782298769732910	-90451782298769731534
vd	17	a	393	32768	-241344681539375825	-241344681539373246	-258509758818635699484756	-258509758818635699297456
vd	17	m	787	65536	-4170195468402094346	-4170195468402091754	-256449203425501487831390	-256449203425501487643682
vd	18	a	197	16384	-8067451592045223260	-8067451592045220684	-254368654907419920117761	-254368654907419919929668
vd	18	m	395	32768	-15765979257522291123	-15765979257522288535	-250149298368235072885181	-250149298368235072696334
vd	19	a	99	8192	-23334591968407269599	-23334591968407267013	-245855118600726219030133	-245855118600726218840520
vd	19	m	199	16384	-38073251122235475933	-38073251122235473345	-237055919402160979624709	-237055919402160979433611
vd	20	a	25	2048	-52266821267690789824	-52266821267690787229	-227998127401270312682481	-227998127401270312489933
vd	20	m	51	4096	-103315086707494489650	-103315086707494487034	-189710309993467307102739	-189710309993467306904760
